epoch, test_loss, acc, p, r, F1
0, 0.062831, 98.387, 0.000, 0.000, 0.000
1, 0.066090, 98.387, 0.000, 0.000, 0.000
2, 0.082929, 98.387, 0.000, 0.000, 0.000
3, 0.063822, 98.387, 0.000, 0.000, 0.000
4, 0.063213, 98.387, 0.000, 0.000, 0.000
5, 0.059363, 98.387, 0.000, 0.000, 0.000
6, 0.056669, 98.387, 0.000, 0.000, 0.000
7, 0.052081, 98.387, 0.000, 0.000, 0.000
8, 0.054671, 98.387, 0.000, 0.000, 0.000
9, 0.053596, 98.387, 0.000, 0.000, 0.000
10, 0.055672, 98.387, 0.000, 0.000, 0.000
11, 0.053993, 98.387, 0.000, 0.000, 0.000
12, 0.050090, 98.387, 0.000, 0.000, 0.000
13, 0.051547, 98.387, 0.000, 0.000, 0.000
14, 0.053767, 98.387, 0.000, 0.000, 0.000
15, 0.051868, 98.387, 0.000, 0.000, 0.000
16, 0.058499, 98.387, 0.000, 0.000, 0.000
17, 0.053560, 98.387, 0.000, 0.000, 0.000
18, 0.047419, 98.387, 0.000, 0.000, 0.000
19, 0.050979, 98.387, 0.000, 0.000, 0.000
20, 0.048908, 98.387, 0.000, 0.000, 0.000
21, 0.047216, 98.387, 0.000, 0.000, 0.000
22, 0.050808, 98.387, 0.000, 0.000, 0.000
23, 0.048868, 98.387, 0.000, 0.000, 0.000
24, 0.043053, 98.387, 0.000, 0.000, 0.000
25, 0.045762, 99.194, 100.000, 50.000, 66.667
26, 0.046495, 99.194, 66.667, 100.000, 80.000
27, 0.049475, 100.000, 100.000, 100.000, 100.000
28, 0.045648, 98.387, 50.000, 100.000, 66.667
29, 0.045137, 97.581, 40.000, 100.000, 57.143
30, 0.043209, 99.194, 66.667, 100.000, 80.000
31, 0.048792, 99.194, 66.667, 100.000, 80.000
32, 0.045812, 99.194, 66.667, 100.000, 80.000
33, 0.042055, 99.194, 66.667, 100.000, 80.000
34, 0.036886, 99.194, 66.667, 100.000, 80.000
35, 0.042430, 97.581, 0.000, 0.000, 0.000
36, 0.044134, 98.387, 50.000, 100.000, 66.667
37, 0.041663, 99.194, 66.667, 100.000, 80.000
38, 0.035551, 98.387, 50.000, 50.000, 50.000
39, 0.032614, 99.194, 66.667, 100.000, 80.000
40, 0.035752, 100.000, 100.000, 100.000, 100.000
41, 0.034897, 100.000, 100.000, 100.000, 100.000
42, 0.035174, 99.194, 66.667, 100.000, 80.000
43, 0.030305, 99.194, 66.667, 100.000, 80.000
44, 0.035965, 98.387, 50.000, 100.000, 66.667
45, 0.026596, 99.194, 66.667, 100.000, 80.000
46, 0.033622, 99.194, 66.667, 100.000, 80.000
47, 0.035644, 100.000, 100.000, 100.000, 100.000
48, 0.046044, 97.581, 40.000, 100.000, 57.143
49, 0.034647, 99.194, 66.667, 100.000, 80.000
50, 0.028960, 99.194, 66.667, 100.000, 80.000
51, 0.030653, 100.000, 100.000, 100.000, 100.000
52, 0.034867, 98.387, 50.000, 100.000, 66.667
53, 0.025937, 99.194, 66.667, 100.000, 80.000
54, 0.030071, 99.194, 66.667, 100.000, 80.000
55, 0.028716, 98.387, 50.000, 100.000, 66.667
56, 0.030631, 98.387, 50.000, 100.000, 66.667
57, 0.050997, 97.581, 40.000, 100.000, 57.143
58, 0.040964, 97.581, 40.000, 100.000, 57.143
59, 0.039254, 97.581, 40.000, 100.000, 57.143
60, 0.034361, 98.387, 50.000, 100.000, 66.667
61, 0.041304, 98.387, 50.000, 100.000, 66.667
62, 0.035600, 98.387, 50.000, 100.000, 66.667
63, 0.032148, 97.581, 40.000, 100.000, 57.143
64, 0.041900, 99.194, 66.667, 100.000, 80.000
65, 0.068268, 96.774, 0.000, 0.000, 0.000
66, 0.059247, 96.774, 0.000, 0.000, 0.000
67, 0.054678, 97.581, 33.333, 50.000, 40.000
68, 0.026413, 99.194, 100.000, 50.000, 66.667
69, 0.048211, 99.194, 100.000, 50.000, 66.667
70, 0.053099, 98.387, 0.000, 0.000, 0.000
71, 0.041529, 97.581, 33.333, 50.000, 40.000
72, 0.045396, 97.581, 40.000, 100.000, 57.143
73, 0.055561, 97.581, 40.000, 100.000, 57.143
74, 0.032937, 98.387, 0.000, 0.000, 0.000
75, 0.037822, 100.000, 100.000, 100.000, 100.000
76, 0.039688, 99.194, 100.000, 50.000, 66.667
77, 0.045147, 98.387, 50.000, 100.000, 66.667
78, 0.050996, 96.774, 33.333, 100.000, 50.000
79, 0.029023, 99.194, 66.667, 100.000, 80.000
80, 0.041369, 99.194, 66.667, 100.000, 80.000
81, 0.032785, 99.194, 66.667, 100.000, 80.000
82, 0.045772, 99.194, 66.667, 100.000, 80.000
83, 0.040893, 97.581, 40.000, 100.000, 57.143
84, 0.023929, 99.194, 66.667, 100.000, 80.000
85, 0.049514, 93.548, 12.500, 50.000, 20.000
86, 0.049743, 95.968, 28.571, 100.000, 44.444
87, 0.038901, 98.387, 50.000, 100.000, 66.667
88, 0.030621, 99.194, 66.667, 100.000, 80.000
89, 0.033584, 99.194, 66.667, 100.000, 80.000
90, 0.025481, 99.194, 66.667, 100.000, 80.000
91, 0.045445, 96.774, 0.000, 0.000, 0.000
92, 0.065476, 95.968, 28.571, 100.000, 44.444
93, 0.025756, 99.194, 66.667, 100.000, 80.000
94, 0.056123, 98.387, 50.000, 50.000, 50.000
95, 0.050353, 97.581, 0.000, 0.000, 0.000
96, 0.096363, 93.548, 20.000, 100.000, 33.333
97, 0.102511, 91.935, 16.667, 100.000, 28.571
98, 0.071535, 93.548, 12.500, 50.000, 20.000
99, 0.089941, 91.129, 15.385, 100.000, 26.667
